Formula,found_mz,theoretical_mz,found_intensity,theoretical_intensity,predicted_charge,mz_difference,charge,splitting_error
M9I4L4_Cnt5,477.41,477.4118012691692,25310000.0,0.006635928992182016,13,-0.07630000000000337,13,0.8099999999956253
M9I4L4_Cnt5,477.1812,477.1808654230154,43840000.0,0.007289053872227669,13,-0.07620000000002847,13,0.9399999999629927
M9I4L4_Cnt5,477.1049,477.10368426916926,585400.0,0.00603520218282938,13,-0.07630000000000337,13,0.8099999999956253
M9I4L4_Cnt5,477.0286,477.02725849993845,528900.0,0.0063524493016302586,13,-0.07630000000000337,13,0.8099999999956253
M9I2L7_Cnt3,451.6554,451.6555939457733,28270000.0,0.0073217726312577724,15,-0.06490000000002283,15,2.6499999999657575
M9I1L9_Cnt3,502.6743,502.67820956630004,23240000.0,0.006384049542248249,15,-0.0684999999999718,15,2.7499999999577085
M8I7L2_Cnt3,476.4377,476.4380734914693,23130000.0,0.008500978350639343,13,-0.07619999999997162,13,0.9400000000368891
M8I2L3_Cnt6,451.1546,451.1551381763,51370000.0,0.00898180902004242,10,-0.10199999999997544,10,1.9999999999754436
M7I5L1_Cnt4,450.3855,450.38938976529,1748000.0,0.011570597998797894,10,-0.10190000000000055,10,1.9000000000005457
M7I3L5_Cnt2,477.3909,477.3899028740584,736000.0,0.010813510045409203,12,-0.0858000000000061,12,2.9600000000073123
M6I2L5_Cnt1,450.4133,450.4130922827091,61500000.0,0.010659458115696907,11,-0.09260000000000446,11,1.8600000000049022
M5I1L2_Cnt5,590.249,590.2513868471401,737900.0,0.02457411028444767,5,-0.20139999999992142,5,0.6999999999607098
M5I0L2_Cnt5,478.2019,478.19974864935995,1465000.0,0.03053995408117771,5,-0.2004000000000019,5,0.20000000000095497
M4I3L0_Cnt3,476.4663,476.46916062734,500500.0,0.0262263473123312,5,-0.20010000000002037,5,0.05000000001018634
M4I3L0_Cnt3,476.2663,476.26848962734005,574700.0,0.04180748388171196,5,-0.19999999999998863,5,5.6843418860808015e-12
M2I3L0_Cnt2,1051.2646,1051.26761937335,766900.0,0.0546141043305397,2,-0.4954000000000178,2,0.9199999999964348
