id,type,ppm,amplitude
0,aldehyde,9.955371407341696,108308.21875
0,imine,8.868563069556794,10110.25
1,imine,8.5488776023681,273083.09375
2,imine,8.481639741200304,244729.75
3,imine,8.471248435383464,550178.46875
4,imine,8.410123107049104,146542.75
5,imine,8.34288524588131,45485.375
6,imine,8.331882686781125,227560.375
7,imine,8.312933834997475,152814.25
8,imine,8.307432555447383,20132.46875
9,imine,8.30376503574732,100103.71875
10,imine,8.293373729930478,76972.59375
11,imine,8.273813624863484,203338.125
12,imine,8.268312345313392,67920.53125
13,imine,8.258532292779895,610500.8125
14,imine,8.239583440996244,592093.59375
15,imine,8.220634589212592,272593.0
16,imine,8.204130750562316,130059.78125
17,imine,8.187626911912039,10265.4375
18,imine,8.183959392211976,21985.75
19,imine,8.163176780578295,20563.03125
20,imine,8.157064247744858,358671.9375
21,imine,8.138115395961208,1239708.78125
22,imine,8.10633022522734,75428.84375
23,imine,8.094105159560469,85315.53125
24,imine,8.036647350926172,10396.75
25,imine,8.032368577942767,147523.28125
26,imine,8.016475992575833,265244.40625
27,imine,7.994470874375463,576616.71875
28,imine,7.9761332758751555,33543.90625
29,imine,7.974299516025124,10443.0
30,imine,7.9730770094584384,32340.375
31,imine,7.960851943791567,597319.125
32,imine,7.8991153621738635,3257954.6875
33,imine,7.767084652971648,5821815.6875
34,imine,7.73163196253772,22607.90625
35,imine,7.72979820268769,10604.1875
36,imine,7.727964442837659,10279.53125
37,imine,7.720629403437536,209928.21875
38,imine,7.6998467918038545,75154.25
39,imine,7.694956765537104,55007.6875
40,imine,7.688844232703668,35409.65625
41,imine,7.660726581669864,1875025.96875
42,imine,7.631997677352715,131321.4375
43,imine,7.613660078852408,10220.625
44,imine,7.608158799302315,10284.59375
45,imine,7.6020462664688795,21466.96875
46,imine,7.594711227068756,161796.75
47,imine,7.562926056334891,330539.3125
48,imine,7.544588457834583,355022.90625
49,imine,7.5128032871007155,131389.65625
50,imine,7.492631928750378,118715.5625
51,imine,7.473683076966727,142130.34375
52,imine,7.403388949382214,10758.875
53,imine,7.264634454063219,187678.375
54,imine,7.256688161379752,10081.28125
55,imine,7.253631894963035,21777.34375
56,imine,7.232238030046008,673816.3125
57,imine,7.223680484079199,71256.25
58,imine,7.17783648782843,3144498.84375
59,imine,7.13015873172763,892566.84375
60,imine,7.075757189510051,20390.09375
61,imine,7.073923429660019,21664.84375
62,imine,7.070867163243302,10695.15625
63,imine,7.065977136976552,10136.8125
64,imine,7.061698363993147,10077.6875
65,imine,6.985291703575199,21279.25
66,imine,6.499345343317047,554265.03125
67,imine,6.481007744816739,167176.46875
68,imine,6.477340225116678,10047.5625
69,imine,6.455946360199651,225712.28125
70,imine,6.341030742931056,55320.34375
71,imine,6.337363223230995,21603.9375
72,imine,6.335529463380964,22848.5625
73,imine,6.3336957035309345,10292.96875
74,imine,6.325749410847467,174255.6875
75,imine,6.246897737296144,634184.96875
76,imine,6.152153478377888,10880.53125
77,imine,6.113033268243899,56699.96875
78,imine,6.074524311393252,10391.15625
79,imine,6.072690551543222,21067.875
80,imine,6.06229924572638,391026.625
81,imine,6.048851673492822,10370.125
82,imine,6.025624048725766,10264.625
83,imine,5.976723786058279,85113.4375
